時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:30:13,30.200000762939453,1.0,555.0,2
2023/08/02 17:30:14,30.200000762939453,1.0,555.0,2
2023/08/02 17:30:15,30.200000762939453,1.0,555.0,2
2023/08/02 17:30:16,30.200000762939453,1.0,555.0,2
2023/08/02 17:30:17,30.200000762939453,1.0,530.0,2
2023/08/02 17:30:18,30.200000762939453,1.0,530.0,2
2023/08/02 17:30:19,30.200000762939453,1.0,530.0,2
2023/08/02 17:30:20,30.200000762939453,1.0,530.0,2
2023/08/02 17:30:21,30.200000762939453,1.0,521.0,2
2023/08/02 17:30:22,30.200000762939453,1.0,521.0,2
2023/08/02 17:30:23,30.200000762939453,,521.0,2
2023/08/02 17:30:24,30.200000762939453,1.0,512.0,2
2023/08/02 17:30:25,30.200000762939453,1.0,504.0,2
2023/08/02 17:30:26,30.200000762939453,1.0,504.0,2
2023/08/02 17:30:27,30.299999237060547,1.0,504.0,2
2023/08/02 17:30:28,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:29,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:30,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:31,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:32,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:33,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:34,30.299999237060547,1.0,491.0,2
2023/08/02 17:30:35,30.399999618530277,1.0,491.0,2
2023/08/02 17:30:36,30.399999618530277,1.0,504.0,2
2023/08/02 17:30:37,30.399999618530277,1.0,508.0,2
2023/08/02 17:30:38,30.399999618530277,1.0,508.0,2
2023/08/02 17:30:39,30.399999618530277,1.0,508.0,2
2023/08/02 17:30:40,30.5,1.0,512.0,2
2023/08/02 17:30:41,30.5,1.0,508.0,2
2023/08/02 17:30:42,30.5,1.0,508.0,2
2023/08/02 17:30:43,30.5,1.0,508.0,2
2023/08/02 17:30:44,30.600000381469727,1.0,500.0,2
2023/08/02 17:30:45,30.600000381469727,1.0,495.0,2
2023/08/02 17:30:46,30.600000381469727,1.0,495.0,2
2023/08/02 17:30:47,30.600000381469727,1.0,495.0,2
2023/08/02 17:30:48,30.700000762939453,1.0,495.0,2
2023/08/02 17:30:49,30.700000762939453,1.0,495.0,2
2023/08/02 17:30:50,30.700000762939453,1.0,495.0,2
2023/08/02 17:30:51,30.700000762939453,1.0,495.0,2
2023/08/02 17:30:52,30.799999237060547,1.0,495.0,2
2023/08/02 17:30:53,30.799999237060547,1.0,487.0,2
2023/08/02 17:30:54,30.799999237060547,1.0,487.0,2
2023/08/02 17:30:55,30.899999618530277,1.0,487.0,2
2023/08/02 17:30:56,30.899999618530277,1.0,487.0,2
2023/08/02 17:30:57,30.899999618530277,1.0,487.0,2
2023/08/02 17:30:58,30.899999618530277,1.0,487.0,2
2023/08/02 17:30:59,31.0,1.0,495.0,2
2023/08/02 17:31:00,31.0,1.0,495.0,2
2023/08/02 17:31:01,31.0,1.0,495.0,2
2023/08/02 17:31:02,31.0,1.0,495.0,2
2023/08/02 17:31:03,31.0,1.0,491.0,2
2023/08/02 17:31:04,31.0,,491.0,2
2023/08/02 17:31:05,31.100000381469727,1.0,487.0,2
2023/08/02 17:31:06,31.100000381469727,1.0,487.0,2
2023/08/02 17:31:07,31.100000381469727,1.0,483.0,2
2023/08/02 17:31:08,31.200000762939453,1.0,483.0,2
2023/08/02 17:31:09,31.200000762939453,1.0,476.0,2
2023/08/02 17:31:10,31.200000762939453,1.0,476.0,2
2023/08/02 17:31:11,31.299999237060547,1.0,476.0,2
2023/08/02 17:31:12,31.299999237060547,1.0,476.0,2
2023/08/02 17:31:13,31.299999237060547,1.0,476.0,2
2023/08/02 17:31:14,31.299999237060547,1.0,476.0,2
2023/08/02 17:31:15,31.299999237060547,1.0,480.0,2
2023/08/02 17:31:16,31.399999618530277,1.0,480.0,2
2023/08/02 17:31:17,31.399999618530277,1.0,480.0,2
2023/08/02 17:31:18,31.399999618530277,1.0,480.0,2
2023/08/02 17:31:19,31.5,1.0,480.0,2
2023/08/02 17:31:20,31.5,1.0,480.0,2
2023/08/02 17:31:21,31.5,1.0,483.0,2
2023/08/02 17:31:22,31.5,1.0,483.0,2
2023/08/02 17:31:23,31.600000381469727,1.0,483.0,2
2023/08/02 17:31:24,31.600000381469727,1.0,483.0,2
2023/08/02 17:31:25,31.600000381469727,1.0,487.0,2
2023/08/02 17:31:26,31.700000762939453,1.0,487.0,2
2023/08/02 17:31:27,31.700000762939453,1.0,483.0,2
2023/08/02 17:31:28,31.700000762939453,1.0,483.0,2
2023/08/02 17:31:29,31.700000762939453,1.0,483.0,2
2023/08/02 17:31:30,31.799999237060547,1.0,483.0,2
2023/08/02 17:31:31,31.799999237060547,1.0,483.0,2
2023/08/02 17:31:32,31.799999237060547,1.0,483.0,2
2023/08/02 17:31:33,31.899999618530277,1.0,483.0,2
2023/08/02 17:31:34,31.899999618530277,1.0,483.0,2
2023/08/02 17:31:35,31.899999618530277,1.0,480.0,2
2023/08/02 17:31:36,32.0,1.0,480.0,2
2023/08/02 17:31:37,32.0,1.0,476.0,2
2023/08/02 17:31:38,32.0,1.0,476.0,2
2023/08/02 17:31:39,32.0,1.0,472.0,2
2023/08/02 17:31:40,32.099998474121094,1.0,472.0,2
